FREQUENCY,ELEVATION,PROBABILITY,ATTENUATION
75,5,0.001,370.06
75,5,0.002,343.74
75,5,0.005,301.85
75,5,0.008,278.86
75,5,0.01,267.88
75,5,0.016,245.02
75,5,0.027,220.58
75,5,0.045,198.33
75,5,0.077,177.14
75,5,0.13,156.08
75,5,0.21,136.49
75,5,0.35,118.04
75,5,0.6,100.13
75,5,0.95,86.981
75,5,1.7,71.817
75,5,3,58.441
75,5,5.1,46.735
75,5,8.3,36.583
75,5,12,29.56
75,5,19,21.5
75,5,30,15.442
75,5,35,14.32
75,5,45,12.564
75,5,50,11.857
75,5,55,11.533
75,5,60,11.261
75,5,65,11.15
75,5,70,11.07
75,5,75,11.055
75,5,80,11.056
75,5,85,11.071
75,5,90,11.096
75,5,99,11.16
75,10,0.001,246.78
75,10,0.002,225.83
75,10,0.005,193.87
75,10,0.008,176.8
75,10,0.01,168.74
75,10,0.016,152.13
75,10,0.027,134.62
75,10,0.045,118.9
75,10,0.077,104.12
75,10,0.13,90.143
75,10,0.21,77.716
75,10,0.35,66.203
75,10,0.6,55.345
75,10,0.95,47.503
75,10,1.7,38.704
75,10,3,31.163
75,10,5.1,24.741
75,10,8.3,19.29
75,10,12,15.568
75,10,19,11.342
75,10,30,8.1794
75,10,35,7.5862
75,10,45,6.6629
75,10,50,6.2921
75,10,55,6.1149
75,10,60,5.9631
75,10,65,5.8913
75,10,70,5.8337
75,10,75,5.8092
75,10,80,5.7931
75,10,85,5.784
75,10,90,5.7809
75,10,99,5.7868
75,15,0.001,197.12
75,15,0.002,178.82
75,15,0.005,151.52
75,15,0.008,137.16
75,15,0.01,130.42
75,15,0.016,116.61
75,15,0.027,102.17
75,15,0.045,89.294
75,15,0.077,77.276
75,15,0.13,66.19
75,15,0.21,56.561
75,15,0.35,47.724
75,15,0.6,39.52
75,15,0.95,33.653
75,15,1.7,27.174
75,15,3,21.716
75,15,5.1,17.147
75,15,8.3,13.321
75,15,12,10.73
75,15,19,7.8095
75,15,30,5.6293
75,15,35,5.2168
75,15,45,4.5772
75,15,50,4.321
75,15,55,4.1954
75,15,60,4.0871
75,15,65,4.0326
75,15,70,3.9876
75,15,75,3.9649
75,15,80,3.9478
75,15,85,3.9356
75,15,90,3.9276
75,15,99,3.9214
75,20,0.001,169.74
75,20,0.002,153.06
75,20,0.005,128.55
75,20,0.008,115.76
75,20,0.01,109.79
75,20,0.016,97.607
75,20,0.027,84.922
75,20,0.045,73.675
75,20,0.077,63.225
75,20,0.13,53.735
75,20,0.21,45.618
75,20,0.35,38.216
75,20,0.6,31.421
75,20,0.95,26.594
75,20,1.7,21.323
75,20,3,16.939
75,20,5.1,13.315
75,20,8.3,10.312
75,20,12,8.2923
75,20,19,6.0283
75,20,30,4.3413
75,20,35,4.0197
75,20,45,3.5227
75,20,50,3.324
75,20,55,3.2248
75,20,60,3.139
75,20,65,3.094
75,20,70,3.0563
75,20,75,3.0356
75,20,80,3.0193
75,20,85,3.0068
75,20,90,2.9974
75,20,99,2.9872
75,25,0.001,152.46
75,25,0.002,136.88
75,25,0.005,114.2
75,25,0.008,102.45
75,25,0.01,96.977
75,25,0.016,85.841
75,25,0.027,74.291
75,25,0.045,64.087
75,25,0.077,54.639
75,25,0.13,46.154
75,25,0.21,38.978
75,25,0.35,32.466
75,25,0.6,26.537
75,25,0.95,22.347
75,25,1.7,17.813
75,25,3,14.079
75,25,5.1,11.024
75,25,8.3,8.5153
75,25,12,6.8366
75,25,19,4.9644
75,25,30,3.5717
75,25,35,3.3043
75,25,45,2.8923
75,25,50,2.728
75,25,55,2.6446
75,25,60,2.5724
75,25,65,2.5334
75,25,70,2.5004
75,25,75,2.4813
75,25,80,2.4658
75,25,85,2.4534
75,25,90,2.4437
75,25,99,2.4319
75,30,0.001,140.76
75,30,0.002,125.95
75,30,0.005,104.54
75,30,0.008,93.509
75,30,0.01,88.38
75,30,0.016,77.965
75,30,0.027,67.193
75,30,0.045,57.7
75,30,0.077,48.933
75,30,0.13,41.125
75,30,0.21,34.582
75,30,0.35,28.665
75,30,0.6,23.313
75,30,0.95,19.547
75,30,1.7,15.501
75,30,3,12.197
75,30,5.1,9.5175
75,30,8.3,7.3336
75,30,12,5.8796
75,30,19,4.2649
75,30,30,3.0655
75,30,35,2.8337
75,30,45,2.4776
75,30,50,2.3358
75,30,55,2.2629
75,30,60,2.1996
75,30,65,2.1646
75,30,70,2.1348
75,30,75,2.1169
75,30,80,2.1021
75,30,85,2.09
75,30,90,2.0802
75,30,99,2.0675
75,35,0.001,132.52
75,35,0.002,118.27
75,35,0.005,97.773
75,35,0.008,87.247
75,35,0.01,82.362
75,35,0.016,72.457
75,35,0.027,62.232
75,35,0.045,53.24
75,35,0.077,44.95
75,35,0.13,37.617
75,35,0.21,31.515
75,35,0.35,26.014
75,35,0.6,21.065
75,35,0.95,17.594
75,35,1.7,13.888
75,35,3,10.884
75,35,5.1,8.4659
75,35,8.3,6.5087
75,35,12,5.2114
75,35,19,3.7766
75,35,30,2.712
75,35,35,2.505
75,35,45,2.1878
75,35,50,2.0617
75,35,55,1.996
75,35,60,1.9389
75,35,65,1.9068
75,35,70,1.8792
75,35,75,1.8621
75,35,80,1.8479
75,35,85,1.836
75,35,90,1.8263
75,35,99,1.8131
75,40,0.001,126.61
75,40,0.002,112.76
75,40,0.005,92.923
75,40,0.008,82.761
75,40,0.01,78.051
75,40,0.016,68.51
75,40,0.027,58.675
75,40,0.045,50.04
75,40,0.077,42.089
75,40,0.13,35.095
75,40,0.21,29.308
75,40,0.35,24.103
75,40,0.6,19.442
75,40,0.95,16.183
75,40,1.7,12.721
75,40,3,9.9322
75,40,5.1,7.7031
75,40,8.3,5.91
75,40,12,4.7263
75,40,19,3.4219
75,40,30,2.4552
75,40,35,2.2661
75,40,45,1.977
75,40,50,1.8623
75,40,55,1.8017
75,40,60,1.7492
75,40,65,1.719
75,40,70,1.6931
75,40,75,1.6766
75,40,80,1.6628
75,40,85,1.6511
75,40,90,1.6413
75,40,99,1.6278
75,45,0.001,122.35
75,45,0.002,108.79
75,45,0.005,89.417
75,45,0.008,79.515
75,45,0.01,74.93
75,45,0.016,65.649
75,45,0.027,56.093
75,45,0.045,47.71
75,45,0.077,40.001
75,45,0.13,33.248
75,45,0.21,27.689
75,45,0.35,22.698
75,45,0.6,18.246
75,45,0.95,15.141
75,45,1.7,11.857
75,45,3,9.2255
75,45,5.1,7.1357
75,45,8.3,5.464
75,45,12,4.3647
75,45,19,3.1574
75,45,30,2.2636
75,45,35,2.0878
75,45,45,1.8195
75,45,50,1.7132
75,45,55,1.6565
75,45,60,1.6073
75,45,65,1.5786
75,45,70,1.5538
75,45,75,1.5378
75,45,80,1.5241
75,45,85,1.5126
75,45,90,1.5028
75,45,99,1.489
75,50,0.001,119.27
75,50,0.002,105.91
75,50,0.005,86.878
75,50,0.008,77.16
75,50,0.01,72.663
75,50,0.016,63.566
75,50,0.027,54.206
75,50,0.045,46.003
75,50,0.077,38.464
75,50,0.13,31.884
75,50,0.21,26.489
75,50,0.35,21.653
75,50,0.6,17.353
75,50,0.95,14.36
75,50,1.7,11.207
75,50,3,8.6923
75,50,5.1,6.7065
75,50,8.3,5.1262
75,50,12,4.0906
75,50,19,2.9568
75,50,30,2.1182
75,50,35,1.9524
75,50,45,1.6998
75,50,50,1.5999
75,50,55,1.546
75,50,60,1.4993
75,50,65,1.4716
75,50,70,1.4477
75,50,75,1.4319
75,50,80,1.4184
75,50,85,1.4069
75,50,90,1.3971
75,50,99,1.3831
