# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,liq_cont_g_m3,att_cld_dB
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.2245e+00, 1.6368e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.2245e+00, 1.6368e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.2245e+00, 1.6368e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 1.2245e+00, 1.6368e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.2245e+00, 1.6368e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 1.1772e+00, 1.5736e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 1.0884e+00, 1.4549e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 9.7449e-01, 1.3026e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 8.5692e-01, 1.1455e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 7.4800e-01, 9.9986e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 6.0538e-01, 8.0922e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 4.5241e-01, 6.0474e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 3.0320e-01, 4.0530e+00
