# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.7500e+01, 1.2735e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.1058e+02, 1.6000e-02
1, 1, 3.7500e+01, 9.2890e+01, 2.7000e-02
1, 1, 3.7500e+01, 7.6998e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.2047e+01, 7.7000e-02
1, 1, 3.7500e+01, 4.9356e+01, 1.3000e-01
1, 1, 3.7500e+01, 3.9396e+01, 2.1000e-01
1, 1, 3.7500e+01, 3.0474e+01, 3.5000e-01
1, 1, 3.7500e+01, 2.2811e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.7552e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.2345e+01, 1.7000e+00
1, 1, 3.7500e+01, 8.5701e+00, 3.0000e+00
1, 1, 3.7500e+01, 5.9778e+00, 5.1000e+00
1, 1, 3.7500e+01, 4.2252e+00, 8.3000e+00
1, 1, 3.7500e+01, 3.2156e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.2594e+00, 1.9000e+01
1, 1, 3.7500e+01, 1.5690e+00, 3.0000e+01
1, 1, 3.7500e+01, 1.1222e+00, 4.5000e+01
1, 1, 3.7500e+01, 8.7884e-01, 6.0000e+01
1, 1, 3.7500e+01, 6.8453e-01, 8.0000e+01
1, 1, 3.7500e+01, 5.7202e-01, 9.8000e+01
1, 1, 3.7500e+01, 1.2735e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.1058e+02, 1.6000e-02
1, 1, 3.7500e+01, 9.2890e+01, 2.7000e-02
1, 1, 3.7500e+01, 7.6998e+01, 4.5000e-02
1, 1, 3.7500e+01, 6.2047e+01, 7.7000e-02
1, 1, 3.7500e+01, 4.9356e+01, 1.3000e-01
1, 1, 3.7500e+01, 3.9396e+01, 2.1000e-01
