# This file is generated on 06-Dec-2021 at 12:13:10 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.7500e+01, 4.4099e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.7442e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.0676e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.4815e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.9491e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.5121e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1797e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.9052e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.4966e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.8904e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.3455e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.2604e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.5372e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0616e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.9382e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.4566e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.7077e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.6009e-01, 4.5000e+01
1, 1, 3.7500e+01, 2.0091e-01, 6.0000e+01
1, 1, 3.7500e+01, 1.5436e-01, 8.0000e+01
1, 1, 3.7500e+01, 1.2775e-01, 9.8000e+01
1, 1, 3.7500e+01, 4.4099e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.7442e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.0676e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.4815e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.9491e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.5121e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1797e+01, 2.1000e-01
1, 1, 3.7500e+01, 8.9052e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.4966e+00, 6.0000e-01
1, 1, 3.7500e+01, 4.8904e+00, 9.5000e-01
1, 1, 3.7500e+01, 3.3455e+00, 1.7000e+00
1, 1, 3.7500e+01, 2.2604e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.5372e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.0616e+00, 8.3000e+00
1, 1, 3.7500e+01, 7.9382e-01, 1.2000e+01
1, 1, 3.7500e+01, 5.4566e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.7077e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.6009e-01, 4.5000e+01
