# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.2583e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.9201e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.6574e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.4567e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.3087e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.2070e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.1476e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 5.1350e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 5.1288e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 5.1280e-01
