# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,hr_km,R001_mm_h,k,alpha,att_rain_dB
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.8354e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.7341e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.5923e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.5841e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.6509e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.8711e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2678e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.7347e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.2833e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 9.7755e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.7889e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.6547e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.2093e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2444e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6944e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.1786e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 8.1037e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.7445e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.4707e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.4604e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.8000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.8789e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.7804e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.6858e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.5513e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.5497e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.6229e+01
