# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 1.0793e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 9.9842e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 9.1420e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 8.3735e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 7.6160e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 6.9208e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 6.3163e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 5.7003e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 5.0751e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 4.5570e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 3.9133e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 3.2907e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 2.7066e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 2.1626e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 1.7426e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 1.2052e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 6.5190e-02
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e+01, 1.4124e-02
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, -2.3390e-02
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, -6.2091e-02
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.8000e+01, -9.0164e-02
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 1.0096e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 9.3393e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 8.5515e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 7.8326e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 7.1241e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 6.4738e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 5.9083e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 5.3321e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 4.7473e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 4.2626e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 3.6605e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 3.0781e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 2.5318e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 2.0230e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 1.6300e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 1.1274e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 6.0979e-02
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e+01, 1.3212e-02
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e+01, -2.1879e-02
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.0000e+01, -5.8080e-02
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.8000e+01, -8.4340e-02
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 9.5602e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 8.8434e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 8.0974e-01
