# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 8.4786e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 7.3773e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 6.2355e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 5.2273e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 4.2941e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 3.4939e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 2.8523e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 2.2701e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 1.7680e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.4153e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 1.0551e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 7.7574e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 5.6683e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 4.1741e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 3.3004e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 2.4787e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 1.9706e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e+01, 1.7206e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, 1.5906e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, 1.4945e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.8000e+01, 1.4446e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 8.3888e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 7.2942e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 6.1597e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 5.1581e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 4.2313e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 3.4377e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 2.8026e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 2.2270e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 1.7311e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 1.3833e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 1.0289e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 7.5481e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 5.5060e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 4.0489e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 3.1975e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 2.3970e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 1.9000e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e+01, 1.6531e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e+01, 1.5244e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.0000e+01, 1.4287e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.8000e+01, 1.3784e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 8.3292e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 7.2386e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 6.1084e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 5.1107e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 4.1877e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 3.3982e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 2.7673e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 2.1961e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 1.7044e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 1.3600e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 1.0096e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 7.3932e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 5.3854e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 3.9554e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 3.1205e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 2.3356e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 1.8466e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 1.6017e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, 1.4738e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, 1.3782e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, 1.3275e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 8.2788e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 7.1918e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 6.0655e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 5.0715e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 4.1519e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 3.3661e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 2.7387e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 2.1713e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 1.6830e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 1.3415e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 9.9432e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 7.2713e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 5.2907e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 3.8822e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 3.0603e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 2.2878e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 1.8051e+00
