# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.1710e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.8913e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.6740e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5080e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.3857e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.3016e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.2525e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.2421e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 4.2369e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 4.2363e-01
