# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.2245e+00, 4.9645e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.2245e+00, 4.9645e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.2245e+00, 4.9645e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 1.2245e+00, 4.9645e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.2245e+00, 4.9645e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 1.1772e+00, 4.7729e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 1.0884e+00, 4.4130e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 9.7449e-01, 3.9510e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 8.5692e-01, 3.4744e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 7.4800e-01, 3.0327e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 6.0538e-01, 2.4545e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 4.5241e-01, 1.8343e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 3.0320e-01, 1.2293e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.8061e-01, 7.3228e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.0572e-01, 4.2862e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 3.5167e-02, 1.4258e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 3.4179e-03, 1.3858e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e+01, 7.0496e-04, 2.8582e-02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 2.4917e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 2.4917e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 2.4917e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 2.4917e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 2.4917e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 2.3956e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 2.2149e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 1.9831e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 1.7438e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 1.5222e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 1.2319e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 9.2063e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 6.1701e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 3.6754e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 2.1513e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 7.1564e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 6.9553e-02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 1.4346e-02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 1.6718e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 1.6718e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 1.6718e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 1.6718e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 1.6718e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 1.6073e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 1.4861e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 1.3305e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 1.1700e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 1.0212e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 8.2653e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 6.1768e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 4.1397e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 2.4659e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 1.4434e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 4.8014e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 4.6665e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 9.6249e-03
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 1.2651e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 1.2651e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 1.2651e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 1.2651e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 1.2651e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 1.2163e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 1.1245e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 1.0068e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 8.8536e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 7.7282e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 6.2546e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 4.6742e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 3.1326e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 1.8660e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 1.0922e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 3.6334e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 3.5313e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 7.2835e-03
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 1.0238e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 1.0238e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 1.0238e+01
