# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2016e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.9340e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6456e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.3813e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.1279e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 9.0889e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.3409e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.7502e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.3618e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.3944e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.4220e+01
