# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.5880e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.4689e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.3450e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 1.2319e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.1205e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 1.0182e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 9.2927e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 8.3865e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 7.4667e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 6.7044e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 5.7574e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 4.8413e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 3.9820e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 3.1818e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 2.5638e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 1.7731e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 9.5910e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e+01, 2.0780e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, -3.4412e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, -9.1351e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.8000e+01, -1.3265e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 6.9437e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 6.4231e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 5.8813e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 5.3869e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 4.8996e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 4.4524e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 4.0635e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 3.6672e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 3.2650e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 2.9316e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 2.5175e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 2.1170e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 1.7412e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 1.3913e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 1.1211e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 7.7535e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 4.1938e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e+01, 9.0866e-02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, -1.5047e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, -3.9945e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.8000e+01, -5.8005e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 4.3013e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 3.9788e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 3.6432e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 3.3369e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 3.0351e+00
