# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 2.8050e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 2.5371e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 2.2485e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 1.9841e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.7305e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 1.4922e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 1.2813e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 1.0760e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 8.8944e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 7.4848e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 5.9331e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 4.5950e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 3.4894e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 2.6485e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 2.1431e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 1.6609e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 1.3801e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e+01, 1.2652e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, 1.2141e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, 1.1964e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.8000e+01, 1.2044e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 1.8369e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 1.6402e+02
