# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.7332e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.4229e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6319e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2366e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0014e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.4671e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.3825e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.5885e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.9897e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.5292e-01
