# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 2.0578e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 2.0578e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 2.0578e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 2.0578e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 2.0578e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 1.9843e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 1.8530e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.7360e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.5876e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.4378e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.2352e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 1.0290e+00
