# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.3077e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1830e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.0861e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.0121e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.9575e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.9200e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.8981e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.8935e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.8912e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.8909e-01
