# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,hr_km,R001_mm_h,k,alpha,att_rain_dB
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 5.0138e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 4.2685e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 3.5078e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.8460e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.2423e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.7449e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.3650e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.0335e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 7.5631e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 5.7083e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 3.9182e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.6560e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.8118e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.2547e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 9.4026e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 6.4803e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 4.4150e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 3.1043e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.4020e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.8485e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.8000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.5316e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 4.9912e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 4.2489e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 3.4912e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.8323e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.2312e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.7361e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.3580e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.0281e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 7.5227e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 5.6774e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 3.8965e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.6410e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.8014e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.2474e+00
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 9.3467e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 6.4413e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 4.3879e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 3.0850e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.3870e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.0000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.8368e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.8000e+01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.5218e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 4.9945e+01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 4.2518e+01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 3.4937e+01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.8343e+01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 2.2329e+01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.7374e+01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 3.2914e+00, 4.8948e+01, 3.8160e-01, 8.7222e-01, 1.3590e+01
