# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,att_scin_dB
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 5.6962e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 5.2691e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 4.8246e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 4.4191e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 4.0193e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 3.6524e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 3.3334e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 3.0083e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.6784e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 2.4049e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 2.0652e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 1.7366e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 1.4284e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 1.1413e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 9.1964e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 6.3604e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 3.4404e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e+01, 7.4541e-03
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, -1.2344e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, -3.2768e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.8000e+01, -4.7584e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 5.3283e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 4.9288e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 4.5130e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 4.1336e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 3.7597e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 3.4165e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 3.1181e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 2.8140e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 2.5054e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 2.2496e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 1.9318e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 1.6245e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 1.3361e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 1.0676e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 8.6024e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 5.9496e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 3.2181e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e+01, 6.9726e-03
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 6.0000e+01, -1.1547e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.0000e+01, -3.0652e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 9.8000e+01, -4.4510e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 5.0453e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 4.6671e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 4.2734e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 3.9142e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 3.5601e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 3.2351e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 2.9525e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 2.6646e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 2.3723e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 2.1301e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 1.8293e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 1.5382e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 1.2652e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 1.0109e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 8.1456e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 5.6337e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 3.0473e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 6.6024e-03
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, -1.0934e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, -2.9024e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, -4.2147e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 4.8310e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 4.4688e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 4.0919e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 3.7479e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 3.4088e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 3.0977e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 2.8271e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 2.5514e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 2.2716e-01
