# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.7500e+01, 5.2564e+01, 1.0000e-02
1, 1, 3.7500e+01, 4.5112e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.7504e+01, 2.7000e-02
1, 1, 3.7500e+01, 3.0886e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.4849e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.9802e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.5872e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.2440e+01, 3.5000e-01
1, 1, 3.7500e+01, 9.5198e+00, 6.0000e-01
1, 1, 3.7500e+01, 7.5154e+00, 9.5000e-01
1, 1, 3.7500e+01, 5.5228e+00, 1.7000e+00
1, 1, 3.7500e+01, 4.0543e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.9998e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.2401e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7687e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.2763e+00, 1.9000e+01
1, 1, 3.7500e+01, 9.0316e-01, 3.0000e+01
1, 1, 3.7500e+01, 6.9813e-01, 4.5000e+01
1, 1, 3.7500e+01, 6.0573e-01, 6.0000e+01
1, 1, 3.7500e+01, 5.5294e-01, 8.0000e+01
1, 1, 3.7500e+01, 5.2559e-01, 9.8000e+01
1, 1, 3.7500e+01, 5.2564e+01, 1.0000e-02
1, 1, 3.7500e+01, 4.5112e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.7504e+01, 2.7000e-02
1, 1, 3.7500e+01, 3.0886e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.4849e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.9802e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.5872e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.2440e+01, 3.5000e-01
1, 1, 3.7500e+01, 9.5198e+00, 6.0000e-01
1, 1, 3.7500e+01, 7.5154e+00, 9.5000e-01
1, 1, 3.7500e+01, 5.5228e+00, 1.7000e+00
1, 1, 3.7500e+01, 4.0543e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.9998e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.2401e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7687e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.2763e+00, 1.9000e+01
1, 1, 3.7500e+01, 9.0316e-01, 3.0000e+01
1, 1, 3.7500e+01, 6.9813e-01, 4.5000e+01
1, 1, 3.7500e+01, 6.0573e-01, 6.0000e+01
1, 1, 3.7500e+01, 5.5294e-01, 8.0000e+01
1, 1, 3.7500e+01, 5.2559e-01, 9.8000e+01
1, 1, 3.7500e+01, 5.2564e+01, 1.0000e-02
1, 1, 3.7500e+01, 4.5112e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.7504e+01, 2.7000e-02
1, 1, 3.7500e+01, 3.0886e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.4849e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.9802e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.5872e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.2440e+01, 3.5000e-01
1, 1, 3.7500e+01, 9.5198e+00, 6.0000e-01
1, 1, 3.7500e+01, 7.5154e+00, 9.5000e-01
1, 1, 3.7500e+01, 5.5228e+00, 1.7000e+00
1, 1, 3.7500e+01, 4.0543e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.9998e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.2401e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7687e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.2763e+00, 1.9000e+01
1, 1, 3.7500e+01, 9.0316e-01, 3.0000e+01
1, 1, 3.7500e+01, 6.9813e-01, 4.5000e+01
1, 1, 3.7500e+01, 6.0573e-01, 6.0000e+01
1, 1, 3.7500e+01, 5.5294e-01, 8.0000e+01
1, 1, 3.7500e+01, 5.2559e-01, 9.8000e+01
1, 1, 3.7500e+01, 5.2564e+01, 1.0000e-02
1, 1, 3.7500e+01, 4.5112e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.7504e+01, 2.7000e-02
1, 1, 3.7500e+01, 3.0886e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.4849e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.9802e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.5872e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.2440e+01, 3.5000e-01
1, 1, 3.7500e+01, 9.5198e+00, 6.0000e-01
1, 1, 3.7500e+01, 7.5154e+00, 9.5000e-01
1, 1, 3.7500e+01, 5.5228e+00, 1.7000e+00
1, 1, 3.7500e+01, 4.0543e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.9998e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.2401e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.7687e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.2763e+00, 1.9000e+01
1, 1, 3.7500e+01, 9.0316e-01, 3.0000e+01
1, 1, 3.7500e+01, 6.9813e-01, 4.5000e+01
1, 1, 3.7500e+01, 6.0573e-01, 6.0000e+01
1, 1, 3.7500e+01, 5.5294e-01, 8.0000e+01
1, 1, 3.7500e+01, 5.2559e-01, 9.8000e+01
1, 1, 3.7500e+01, 5.2564e+01, 1.0000e-02
1, 1, 3.7500e+01, 4.5112e+01, 1.6000e-02
1, 1, 3.7500e+01, 3.7504e+01, 2.7000e-02
1, 1, 3.7500e+01, 3.0886e+01, 4.5000e-02
1, 1, 3.7500e+01, 2.4849e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.9802e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.5872e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.2440e+01, 3.5000e-01
1, 1, 3.7500e+01, 9.5198e+00, 6.0000e-01
1, 1, 3.7500e+01, 7.5154e+00, 9.5000e-01
1, 1, 3.7500e+01, 5.5228e+00, 1.7000e+00
