# This file is generated on 06-Dec-2021 at 12:10:29 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 3.7500e+01, 1.9341e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.9341e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.9341e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9341e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.9341e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.8650e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.7416e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.6316e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.4921e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.3513e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.1609e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.6709e+00, 3.0000e+00
1, 1, 3.7500e+01, 7.6966e+00, 5.1000e+00
1, 1, 3.7500e+01, 5.7958e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.3253e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.4518e+00, 1.9000e+01
1, 1, 3.7500e+01, 8.9616e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.1060e-01, 4.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.9341e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.9341e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.9341e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9341e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.9341e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.8650e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.7416e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.6316e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.4921e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.3513e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.1609e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.6709e+00, 3.0000e+00
1, 1, 3.7500e+01, 7.6966e+00, 5.1000e+00
1, 1, 3.7500e+01, 5.7958e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.3253e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.4518e+00, 1.9000e+01
1, 1, 3.7500e+01, 8.9616e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.1060e-01, 4.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.9341e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.9341e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.9341e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9341e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.9341e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.8650e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.7416e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.6316e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.4921e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.3513e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.1609e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.6709e+00, 3.0000e+00
1, 1, 3.7500e+01, 7.6966e+00, 5.1000e+00
1, 1, 3.7500e+01, 5.7958e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.3253e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.4518e+00, 1.9000e+01
1, 1, 3.7500e+01, 8.9616e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.1060e-01, 4.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.9341e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.9341e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.9341e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9341e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.9341e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.8650e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.7416e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.6316e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.4921e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.3513e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.1609e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.6709e+00, 3.0000e+00
1, 1, 3.7500e+01, 7.6966e+00, 5.1000e+00
1, 1, 3.7500e+01, 5.7958e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.3253e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.4518e+00, 1.9000e+01
1, 1, 3.7500e+01, 8.9616e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.1060e-01, 4.5000e+01
1, 1, 3.7500e+01, 0.0000e+00, 6.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 8.0000e+01
1, 1, 3.7500e+01, 0.0000e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.9341e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.9341e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.9341e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9341e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.9341e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.8650e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.7416e+01, 2.1000e-01
1, 1, 3.7500e+01, 1.6316e+01, 3.5000e-01
1, 1, 3.7500e+01, 1.4921e+01, 6.0000e-01
1, 1, 3.7500e+01, 1.3513e+01, 9.5000e-01
1, 1, 3.7500e+01, 1.1609e+01, 1.7000e+00
1, 1, 3.7500e+01, 9.6709e+00, 3.0000e+00
1, 1, 3.7500e+01, 7.6966e+00, 5.1000e+00
1, 1, 3.7500e+01, 5.7958e+00, 8.3000e+00
1, 1, 3.7500e+01, 4.3253e+00, 1.2000e+01
1, 1, 3.7500e+01, 2.4518e+00, 1.9000e+01
1, 1, 3.7500e+01, 8.9616e-01, 3.0000e+01
