# This file is generated on 06-Dec-2021 at 12:10:29 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 8.3804e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 7.7521e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 7.0982e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 6.5015e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 5.9133e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 5.3736e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 4.9042e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 4.4259e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 3.9405e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 3.5382e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 3.0384e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.5550e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 2.1015e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.6792e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.3530e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 9.3577e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 5.0616e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e+01, 1.0967e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, -1.8161e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, -4.8210e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.8000e+01, -7.0007e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 3.6645e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 3.3898e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 3.1038e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 2.8429e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 2.5857e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 2.3497e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 2.1445e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 1.9353e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 1.7231e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 1.5472e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.3286e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.1172e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 9.1893e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 7.3425e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 5.9163e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 4.0918e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 2.2133e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.5000e+01, 4.7954e-02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, -7.9412e-02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, -2.1081e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.8000e+01, -3.0612e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 2.2700e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 2.0998e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 1.9227e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 1.7611e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 1.6017e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 1.4555e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 1.3284e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 1.1988e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 1.0674e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 9.5839e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 8.2302e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 6.9207e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 5.6923e-01
