# This file is generated on 06-Dec-2021 at 12:10:29 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
1, 1, 3.7500e+01, 4.2848e+00, 6.0000e+01
1, 1, 3.7500e+01, 4.1819e+00, 8.0000e+01
1, 1, 3.7500e+01, 4.2196e+00, 9.8000e+01
1, 1, 3.7500e+01, 1.6363e+02, 1.0000e-02
1, 1, 3.7500e+01, 1.4534e+02, 1.6000e-02
1, 1, 3.7500e+01, 1.2597e+02, 2.7000e-02
1, 1, 3.7500e+01, 1.0851e+02, 4.5000e-02
1, 1, 3.7500e+01, 9.2034e+01, 7.7000e-02
1, 1, 3.7500e+01, 7.7311e+01, 1.3000e-01
1, 1, 3.7500e+01, 6.5030e+01, 2.1000e-01
1, 1, 3.7500e+01, 5.4006e+01, 3.5000e-01
1, 1, 3.7500e+01, 4.4062e+01, 6.0000e-01
1, 1, 3.7500e+01, 3.6768e+01, 9.5000e-01
1, 1, 3.7500e+01, 2.9017e+01, 1.7000e+00
1, 1, 3.7500e+01, 2.2819e+01, 3.0000e+00
1, 1, 3.7500e+01, 1.7904e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.4002e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.1368e+01, 1.2000e+01
1, 1, 3.7500e+01, 8.3808e+00, 1.9000e+01
1, 1, 3.7500e+01, 6.0000e+00, 3.0000e+01
1, 1, 3.7500e+01, 4.7614e+00, 4.5000e+01
