# This file is generated on 06-Dec-2021 at 12:10:29 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.2304e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.2991e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.2427e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.2150e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.6035e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.2014e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.9194e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.7130e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.5573e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.4376e-01
