# This file is generated on 06-Dec-2021 at 11:56:23 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 7.5000e+01, 5.8662e+01, 1.0000e-02
1, 1, 7.5000e+01, 5.8662e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8662e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.8662e+01, 4.5000e-02
1, 1, 7.5000e+01, 5.8662e+01, 7.7000e-02
1, 1, 7.5000e+01, 5.6569e+01, 1.3000e-01
1, 1, 7.5000e+01, 5.2825e+01, 2.1000e-01
1, 1, 7.5000e+01, 4.9488e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.5259e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.0988e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.5212e+01, 1.7000e+00
1, 1, 7.5000e+01, 2.9333e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.3345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.7579e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.3119e+01, 1.2000e+01
1, 1, 7.5000e+01, 7.4367e+00, 1.9000e+01
1, 1, 7.5000e+01, 2.7182e+00, 3.0000e+01
1, 1, 7.5000e+01, 6.3877e-01, 4.5000e+01
1, 1, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.8000e+01
1, 1, 7.5000e+01, 5.8662e+01, 1.0000e-02
1, 1, 7.5000e+01, 5.8662e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8662e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.8662e+01, 4.5000e-02
1, 1, 7.5000e+01, 5.8662e+01, 7.7000e-02
1, 1, 7.5000e+01, 5.6569e+01, 1.3000e-01
1, 1, 7.5000e+01, 5.2825e+01, 2.1000e-01
1, 1, 7.5000e+01, 4.9488e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.5259e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.0988e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.5212e+01, 1.7000e+00
1, 1, 7.5000e+01, 2.9333e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.3345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.7579e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.3119e+01, 1.2000e+01
1, 1, 7.5000e+01, 7.4367e+00, 1.9000e+01
1, 1, 7.5000e+01, 2.7182e+00, 3.0000e+01
1, 1, 7.5000e+01, 6.3877e-01, 4.5000e+01
1, 1, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.8000e+01
1, 1, 7.5000e+01, 5.8662e+01, 1.0000e-02
1, 1, 7.5000e+01, 5.8662e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8662e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.8662e+01, 4.5000e-02
1, 1, 7.5000e+01, 5.8662e+01, 7.7000e-02
1, 1, 7.5000e+01, 5.6569e+01, 1.3000e-01
1, 1, 7.5000e+01, 5.2825e+01, 2.1000e-01
1, 1, 7.5000e+01, 4.9488e+01, 3.5000e-01
1, 1, 7.5000e+01, 4.5259e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.0988e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.5212e+01, 1.7000e+00
1, 1, 7.5000e+01, 2.9333e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.3345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.7579e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.3119e+01, 1.2000e+01
1, 1, 7.5000e+01, 7.4367e+00, 1.9000e+01
1, 1, 7.5000e+01, 2.7182e+00, 3.0000e+01
1, 1, 7.5000e+01, 6.3877e-01, 4.5000e+01
1, 1, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.8000e+01
1, 1, 7.5000e+01, 5.8662e+01, 1.0000e-02
1, 1, 7.5000e+01, 5.8662e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8662e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.8662e+01, 4.5000e-02
1, 1, 7.5000e+01, 5.8662e+01, 7.7000e-02
1, 1, 7.5000e+01, 5.6569e+01, 1.3000e-01
1, 1, 7.5000e+01, 5.2825e+01, 2.1000e-01
