# This file is generated on 06-Dec-2021 at 11:56:23 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.2556e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.1615e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.0635e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 9.7412e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 8.8600e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 8.0513e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 7.3480e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 6.6314e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 5.9041e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 5.3013e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 4.5525e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 3.8282e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 3.1487e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 2.5159e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 2.0272e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 1.4021e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 7.5838e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e+01, 1.6431e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, -2.7211e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, -7.2233e-01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.8000e+01, -1.0489e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 5.4906e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 5.0789e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 4.6505e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 4.2596e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 3.8742e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 3.5206e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 3.2131e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 2.8997e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 2.5817e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 2.3181e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.9907e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.6739e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 1.3768e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 1.1001e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 8.8645e-01
