# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,liq_cont_g_m3,att_cld_dB
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 6.2415e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 6.2415e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 6.2415e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 6.2415e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 6.2415e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 6.0188e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 5.6205e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 5.2654e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 4.8154e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 4.3610e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 3.7464e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 3.1210e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 2.4838e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 1.8704e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 1.3958e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 7.9125e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 2.8921e-01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 6.7964e-02
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 5.9037e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 5.9037e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 5.9037e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 5.9037e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 5.9037e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 5.6930e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 5.3162e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 4.9804e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 4.5548e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 4.1250e+00
