# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.9234e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.6033e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.3546e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.1646e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.0246e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.9283e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.8721e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.8602e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 4.8543e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 4.8536e-01
