# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 7.5000e+01, 9.0263e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.7808e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.4832e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.3316e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.2608e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.3619e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.6636e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.0441e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.5174e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.1593e+01, 9.5000e-01
1, 1, 7.5000e+01, 8.0807e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.5605e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.8468e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.6985e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.0420e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.4246e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.8236e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.9818e-01, 4.5000e+01
1, 1, 7.5000e+01, 5.4436e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2211e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.5163e-01, 9.8000e+01
1, 1, 7.5000e+01, 9.0263e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.7808e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.4832e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.3316e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.2608e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.3619e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.6636e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.0441e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.5174e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.1593e+01, 9.5000e-01
1, 1, 7.5000e+01, 8.0807e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.5605e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.8468e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.6985e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.0420e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.4246e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.8236e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.9818e-01, 4.5000e+01
1, 1, 7.5000e+01, 5.4436e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2211e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.5163e-01, 9.8000e+01
1, 1, 7.5000e+01, 9.0263e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.7808e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.4832e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.3316e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.2608e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.3619e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.6636e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.0441e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.5174e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.1593e+01, 9.5000e-01
1, 1, 7.5000e+01, 8.0807e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.5605e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.8468e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.6985e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.0420e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.4246e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.8236e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.9818e-01, 4.5000e+01
1, 1, 7.5000e+01, 5.4436e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2211e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.5163e-01, 9.8000e+01
1, 1, 7.5000e+01, 9.0263e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.7808e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.4832e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.3316e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.2608e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.3619e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.6636e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.0441e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.5174e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.1593e+01, 9.5000e-01
1, 1, 7.5000e+01, 8.0807e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.5605e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.8468e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.6985e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.0420e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.4246e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.8236e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.9818e-01, 4.5000e+01
1, 1, 7.5000e+01, 5.4436e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2211e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.5163e-01, 9.8000e+01
1, 1, 7.5000e+01, 9.0263e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.7808e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.4832e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.3316e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.2608e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.3619e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.6636e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.0441e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.5174e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.1593e+01, 9.5000e-01
1, 1, 7.5000e+01, 8.0807e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.5605e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.8468e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.6985e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.0420e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.4246e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.8236e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.9818e-01, 4.5000e+01
1, 1, 7.5000e+01, 5.4436e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2211e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.5163e-01, 9.8000e+01
1, 1, 7.5000e+01, 9.0263e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.7808e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.4832e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.3316e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.2608e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.3619e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.6636e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.0441e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.5174e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.1593e+01, 9.5000e-01
1, 1, 7.5000e+01, 8.0807e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.5605e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.8468e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.6985e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.0420e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.4246e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.8236e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.9818e-01, 4.5000e+01
1, 1, 7.5000e+01, 5.4436e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2211e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.5163e-01, 9.8000e+01
1, 1, 7.5000e+01, 9.0263e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.7808e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.4832e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.3316e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.2608e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.3619e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.6636e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.0441e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.5174e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.1593e+01, 9.5000e-01
1, 1, 7.5000e+01, 8.0807e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.5605e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.8468e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.6985e+00, 8.3000e+00
1, 1, 7.5000e+01, 2.0420e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.4246e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.8236e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.9818e-01, 4.5000e+01
1, 1, 7.5000e+01, 5.4436e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2211e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.5163e-01, 9.8000e+01
1, 1, 7.5000e+01, 9.0263e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.7808e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.4832e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.3316e+01, 4.5000e-02
1, 1, 7.5000e+01, 4.2608e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.3619e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.6636e+01, 2.1000e-01
1, 1, 7.5000e+01, 2.0441e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.5174e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.1593e+01, 9.5000e-01
1, 1, 7.5000e+01, 8.0807e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.5605e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.8468e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.6985e+00, 8.3000e+00
