# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,att_comb_dB
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 9.7536e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 8.5081e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 7.2104e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 6.0589e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 4.9881e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 4.0669e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 3.3288e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 2.6738e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.1021e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.6985e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 1.2859e+01
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 9.7129e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 7.3618e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 5.5997e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 4.4682e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 3.2455e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 2.3002e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.5000e+01, 1.7938e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 6.0000e+01, 1.5722e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 8.0000e+01, 1.4525e+00
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 9.8000e+01, 1.3863e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 9.7052e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 8.4607e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 7.1643e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 6.0138e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 4.9440e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 4.0250e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 2.1000e-01, 3.2897e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.5000e-01, 2.6373e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e-01, 2.0686e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.5000e-01, 1.6679e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.7000e+00, 1.2590e+01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+00, 9.4810e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 7.1664e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 5.4391e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 4.3341e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 3.1449e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 2.2275e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e+01, 1.7336e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e+01, 1.5159e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.0000e+01, 1.3960e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.8000e+01, 1.3294e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 9.7050e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 8.4569e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 7.1565e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 6.0024e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 4.9291e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 4.0080e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 3.2719e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 2.6188e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 2.0501e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 1.6499e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 1.2423e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 9.3299e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 7.0352e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 5.3288e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 4.2411e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 3.0748e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 2.1766e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 1.6908e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, 1.4752e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, 1.3546e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, 1.2873e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 9.7266e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 8.4732e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 7.1669e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 6.0074e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 4.9289e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 4.0040e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 3.2657e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 2.6104e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 2.0402e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 1.6396e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 1.2319e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 9.2313e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 6.9468e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 5.2532e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 4.1766e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 3.0258e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 2.1410e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e+01, 1.6605e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, 1.4460e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, 1.3244e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.8000e+01, 1.2563e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 9.7327e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 8.4765e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 7.1672e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 6.0049e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 4.9237e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 3.9970e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 3.2577e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 2.6016e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 2.0310e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.6304e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 1.2231e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 9.1511e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 6.8763e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 5.1936e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 4.1261e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 2.9876e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 2.1132e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 1.6370e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, 1.4237e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, 1.3015e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, 1.2329e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 9.6718e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 8.4214e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 7.1185e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 5.9621e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 4.8866e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 3.9651e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 3.2304e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 2.5785e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 2.0117e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.6140e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 1.2099e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 9.0454e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 6.7923e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 5.1272e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 4.0720e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 2.9476e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 2.0845e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e+01, 1.6140e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, 1.4028e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, 1.2815e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.8000e+01, 1.2133e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 9.4958e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 8.2658e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 6.9848e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 5.8486e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 4.7926e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 3.8883e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 3.1674e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 2.5281e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 1.9726e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.5828e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 1.1868e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 8.8753e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 6.6668e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 5.0339e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 3.9986e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 2.8946e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 2.0470e+00
