# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 4.3522e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.1168e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.9339e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.7942e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.6912e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.6205e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.5791e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.5704e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.5660e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.5655e-01
